GEOID,source
36053,3
36029,3
6063,3
6079,3
36103,3
6009,3
36065,3
8035,0
12057,3
12117,3
9003,3
12055,3
8013,0
12031,3
12107,3
8093,0
8055,0
12109,0
42045,0
42111,0
42103,0
42027,0
44003,3
55059,3
30027,0
30081,0
30049,0
30087,0
30001,0
30013,0
30007,0
30055,0
49057,3
49049,3
49017,2
1003,0
13079,2
13001,2
28007,3
13283,1
48073,3
34029,0
34033,0
35039,3
35043,3
28149,3
35021,1
1129,3
53061,3
51015,3
53055,3
51031,3
53063,0
51051,2
51195,3
53015,3
33009,3
32019,3
24017,0
21095,3
21047,3
23013,3
23015,3
22035,3
21027,2
21127,2
21151,3
21231,3
51191,3
24025,0
24015,0
37089,3
37027,3
37133,3
37067,3
37193,3
37111,3
37117,3
37059,3
37103,3
32015,2
28047,0
28029,3
28011,3
28033,3
28103,3
28083,3
28137,3
48311,0
16043,2
16035,2
16029,2
16059,2
16083,3
16003,2
16031,3
48229,1
50009,3
29113,3
29013,2
29205,2
26115,3
26125,3
26099,3
26103,3
18023,0
48449,3
72095,0
27053,0
27071,0
27013,0
27015,0
27073,0
37053,3
38017,2
37177,3
48395,3
22013,3
22037,3
22053,3
22039,3
22009,3
38055,2
54093,2
48501,2
28161,2
16041,2
50021,3
51163,3
51145,2
51035,3
51630,3
51005,2
2070,3
2050,3
2185,2
2188,1
31117,0
78030,0
23007,3
8037,0
8091,0
8027,0
31103,1
8111,0
2150,3
1101,3
51063,2
51167,2
51047,3
53041,1
51003,3
13195,2
13039,3
13033,2
13127,3
13185,3
13105,2
37165,3
19045,0
19147,0
18173,0
18019,0
19063,0
20081,1
21115,3
21155,3
17043,0
17153,1
17165,3
39049,0
6067,2
6073,3
6089,3
36045,3
36105,3
36031,3
36107,3
48245,3
48499,3
48373,3
48427,3
48157,3
48467,3
48465,3
48481,3
48103,2
48035,2
48127,2
48175,2
40027,3
40145,3
40079,3
40067,3
41041,0
41033,0
41067,0
6051,3
5075,3
5057,3
5131,3
6091,1
16033,0
48007,3
48393,0
48399,2
48015,3
45003,3
45019,3
45041,3
45077,3
45075,3
21229,3
47105,2
47157,0
47025,3
47121,3
47063,3
47073,3
46009,2
46057,2
20101,1
56013,0
54039,3
54033,3
54045,3
16049,2
12065,3
12007,3
29183,3
29195,3
29143,3
37017,3
42127,0
42133,0
42063,0
44005,3
55057,3
48001,3
48025,3
48401,3
48233,3
40133,3
41039,0
5119,0
5139,3
5045,3
5109,2
5021,3
5121,3
27021,0
27173,0
16073,2
37143,3
38077,2
38045,2
38059,2
54063,3
54057,3
28049,3
45005,3
22033,0
47033,2
47081,2
47093,3
47013,3
47181,2
46083,3
46117,1
47057,3
47019,3
46041,1
20129,1
54099,3
54085,2
56035,0
54065,3
51073,3
51036,2
51595,3
28051,3
28055,1
12029,3
16015,2
16085,3
16027,3
50025,3
13013,3
13313,3
34041,0
53033,0
1063,3
31167,2
21037,3
51105,3
25005,3
37139,3
37107,3
20019,2
36043,3
12001,3
12083,3
8071,0
48391,2
48161,3
48403,2
30071,0
30063,0
30089,0
30105,0
30023,0
49013,3
49037,3
49023,2
36019,3
48457,3
48167,3
48139,3
48491,3
48061,3
48349,3
12103,3
12041,3
8059,0
9001,3
10003,3
12033,3
29037,3
29203,2
29041,2
26047,3
26147,3
26119,2
26153,2
72107,0
69110,0
69085,0
4025,0
4027,0
36085,3
36067,3
6023,3
6035,3
32003,0
32033,2
23005,3
21089,3
22117,3
20091,3
22123,2
23017,3
22125,2
21139,2
51069,3
23025,3
24005,0
24043,0
25021,3
24009,0
37013,3
37101,3
37035,3
37019,3
41001,0
5145,3
5107,3
5007,3
48185,3
30031,0
30099,0
49045,3
49029,1
50027,3
48091,3
8049,0
12053,3
29207,3
25015,3
48319,1
72023,0
27171,0
37029,3
48425,2
26083,1
22041,3
22083,3
54075,2
45071,3
22101,3
47119,3
47021,3
47049,3
54081,3
54021,3
51175,3
51179,3
51127,2
13091,2
28151,3
29087,1
13163,2
13051,3
13289,1
1023,3
53035,3
51187,3
1069,3
21195,3
22105,3
37061,3
37051,0
20059,3
39105,0
6045,3
8001,0
8077,0
12131,3
30033,0
48041,3
48489,3
48303,3
40023,3
41019,0
41031,0
5061,3
45081,3
45065,3
47085,2
54031,3
26107,3
72127,0
27107,0
48235,1
54103,3
16023,1
51085,3
2013,2
8043,0
8109,0
34013,0
1071,3
13029,3
13305,3
37085,3
18179,0
18025,0
21055,3
20161,3
21237,2
17189,2
6059,2
6007,3
1077,3
53031,3
22057,3
51117,3
51027,3
24011,0
42029,0
42017,0
55043,3
48207,2
30039,0
30053,0
30043,0
49055,2
48053,3
48283,3
48239,3
48011,1
45025,3
47179,3
46137,1
60050,0
29189,3
29099,3
48263,0
27165,0
27037,0
27077,0
22097,3
28109,3
37075,3
51011,2
51095,3
2100,3
16037,1
34039,0
1049,3
51077,2
13133,2
13075,3
13311,2
19107,0
18147,0
18029,0
21025,2
21153,2
17111,3
39069,0
6053,2
6017,3
53045,1
51059,0
21177,3
37091,3
37153,3
42129,0
42005,0
48459,3
48369,1
40125,3
22073,3
54023,3
45091,3
47123,3
46095,1
47151,3
46127,3
54019,3
4015,0
51199,3
51155,3
18129,0
21033,2
20023,1
6077,3
8123,0
37125,3
37131,3
28089,3
48355,0
48133,3
48469,3
41055,0
41045,0
5117,3
45059,3
47115,3
47167,3
13221,2
26053,3
27129,0
37095,3
22085,3
54095,3
28013,3
28021,3
46073,1
48261,0
8015,0
13107,3
37037,3
18175,0
20143,1
21067,3
36055,3
1047,3
1027,3
31055,3
22011,3
51185,3
24027,0
42041,0
55029,3
48059,2
48371,3
41005,0
5041,3
5149,3
30035,0
49015,2
49031,1
6021,3
8019,0
12037,3
29019,3
48435,1
27027,0
48327,1
22077,3
48107,2
22021,2
53077,2
13271,2
13191,2
20069,1
17003,2
6085,3
45015,3
47051,2
47117,3
66010,0
48067,3
41051,0
22059,2
47187,3
4005,0
49007,3
12023,3
26089,2
24031,0
13009,3
13181,1
1059,3
24019,0
37159,3
37009,3
20141,1
6055,3
36063,3
12039,3
55007,2
13137,3
40013,3
40065,3
5085,3
5015,3
48017,1
30029,0
50017,3
48339,0
48241,3
36091,3
8031,0
26029,3
48033,1
69100,0
27163,0
38053,2
13059,3
13223,3
13207,3
13069,3
13071,3
13161,2
13225,3
13149,2
13093,2
13231,1
28157,2
48153,2
45009,3
47059,3
47155,3
54047,3
13303,3
51079,3
51053,3
21187,2
6069,3
10005,3
34003,0
53053,3
31013,2
23031,3
21119,3
37057,3
29057,2
4017,0
2122,3
31075,0
13267,2
48353,3
41035,0
5069,3
45029,3
54071,2
29027,3
55009,3
48225,3
27139,0
22067,3
46103,3
20199,0
4003,0
37043,2
49033,1
48361,3
12075,3
12005,3
26041,3
22017,0
24021,0
60020,0
45053,3
37137,3
6113,3
13321,3
