zip,xsite,eviction_count,fully_vaccinated
75034,FORTWORTH,167,22368
77494,HOUSTON,117,59573
77046,HOUSTON,7,1289
78733,AUSTIN,4,4746
77546,HOUSTON,45,23062
77339,HOUSTON,65,15274
76182,FORTWORTH,22,13034
75206,DALLAS,172,20506
77019,HOUSTON,61,13970
78721,AUSTIN,22,4625
75225,DALLAS,21,12790
75080,DALLAS,91,21391
85373,PHOENIX,14,10942
78645,AUSTIN,8,5869
78744,AUSTIN,93,17277
46574,SOUTH BEND,6,2440
77008,HOUSTON,67,22101
75082,DALLAS,21,14161
85337,PHOENIX,4,932
76248,FORTWORTH,25,18144
75230,DALLAS,47,14514
78753,AUSTIN,118,17867
77007,HOUSTON,87,24349
78732,AUSTIN,11,8801
75019,DALLAS,41,23579
75078,FORTWORTH,8,14045
78736,AUSTIN,7,4760
75205,DALLAS,24,11985
78754,AUSTIN,29,11289
77484,HOUSTON,8,3392
78620,AUSTIN,6,9065
78726,AUSTIN,24,6829
78737,AUSTIN,3,10384
76028,FORTWORTH,40,23295
78748,AUSTIN,49,25684
75166,DALLAS,1,1735
78747,AUSTIN,10,9237
78752,AUSTIN,37,7350
78612,AUSTIN,4,4366
78757,AUSTIN,27,13528
78741,AUSTIN,97,17355
85375,PHOENIX,10,23077
76234,DALLAS,7,5449
78738,AUSTIN,9,14392
78728,AUSTIN,38,10149
78702,AUSTIN,28,13014
78758,AUSTIN,71,18904
77005,HOUSTON,13,16824
78727,AUSTIN,32,15354
78745,AUSTIN,64,28501
78704,AUSTIN,69,25836
77357,HOUSTON,8,5707
77523,HOUSTON,5,5692
78756,AUSTIN,9,5063
78641,AUSTIN,15,33626
78703,AUSTIN,15,13574
78722,AUSTIN,6,4149
85387,PHOENIX,2,9350
78701,AUSTIN,13,6330
77401,HOUSTON,3,10659
46506,SOUTH BEND,3,2841
75135,DALLAS,1,1815
78621,AUSTIN,4,7795
78705,AUSTIN,19,13178
77477,HOUSTON,16,13630
75098,DALLAS,8,24000
75125,DALLAS,1,1766
78759,AUSTIN,25,23143
78731,AUSTIN,11,16632
78751,AUSTIN,11,10369
78749,AUSTIN,11,18791
75143,DALLAS,2,3639
78735,AUSTIN,6,10286
78610,AUSTIN,5,17374
77489,HOUSTON,5,14136
76008,FORTWORTH,1,7873
78746,AUSTIN,5,16206
78652,AUSTIN,1,2923
76058,FORTWORTH,2,4770
78730,AUSTIN,2,4909
75009,FORTWORTH,1,6695
78664,AUSTIN,9,22233
46140,INDIANAPOLIS,4,17246
77354,HOUSTON,2,11486
75189,DALLAS,1,9579
78750,AUSTIN,3,14495
46077,INDIANAPOLIS,1,18908
46143,INDIANAPOLIS,4,24435
77581,HOUSTON,2,19893
77406,HOUSTON,1,23446
78654,AUSTIN,1,6504
77365,HOUSTON,1,10755
46112,FORTWORTH,1,19225
78613,AUSTIN,3,38250
75119,FORTWORTH,1,6727
75024,FORTWORTH,3,23730
75252,DALLAS,2,14080
46350,SOUTH BEND,1,16413
77469,HOUSTON,1,23617
78729,AUSTIN,1,13967
78209,DALLAS,1,19805
75074,FORTWORTH,1,20265
10468,NEW YORK,1712,25652
11368,NEW YORK,1576,43814
10457,NEW YORK,1522,22503
19154,PHILADELPHIA,173,11583
10452,NEW YORK,1633,26238
10456,NEW YORK,1779,27537
10453,NEW YORK,1626,24745
10303,NEW YORK,191,8964
10460,NEW YORK,1080,17864
10458,NEW YORK,1517,25771
11432,NEW YORK,560,32609
10467,NEW YORK,1540,34448
10459,NEW YORK,714,15333
10462,NEW YORK,1065,32534
11691,NEW YORK,709,16820
19134,PHILADELPHIA,417,14886
11226,NEW YORK,1406,35712
10451,NEW YORK,750,17948
10039,NEW YORK,419,8526
11411,NEW YORK,35,7189
10030,NEW YORK,472,9931
10469,NEW YORK,454,24742
19135,PHILADELPHIA,178,8656
11203,NEW YORK,698,25154
11225,NEW YORK,812,23496
10032,NEW YORK,739,27818
19142,PHILADELPHIA,177,6582
11412,NEW YORK,100,12136
11210,NEW YORK,456,18474
10026,NEW YORK,475,15269
19141,PHILADELPHIA,222,7804
11212,NEW YORK,1006,20949
19124,PHILADELPHIA,380,16371
11213,NEW YORK,779,19069
10455,NEW YORK,476,13466
19119,PHILADELPHIA,150,10966
10466,NEW YORK,523,21334
10031,NEW YORK,655,24965
10040,NEW YORK,508,19143
19152,PHILADELPHIA,166,12543
10474,NEW YORK,113,3394
10034,NEW YORK,489,17047
11415,NEW YORK,180,9388
10454,NEW YORK,418,12259
19149,PHILADELPHIA,241,16923
11208,NEW YORK,808,29394
10464,NEW YORK,24,2378
19138,PHILADELPHIA,110,8625
19131,PHILADELPHIA,291,11948
11423,NEW YORK,130,14556
10037,NEW YORK,291,7913
10033,NEW YORK,559,25148
11374,NEW YORK,371,21272
10472,NEW YORK,586,22500
19151,PHILADELPHIA,123,7958
11427,NEW YORK,95,14525
19120,PHILADELPHIA,288,17566
11233,NEW YORK,724,21172
19126,PHILADELPHIA,78,5016
19144,PHILADELPHIA,345,12816
10463,NEW YORK,594,32050
11372,NEW YORK,478,35660
11207,NEW YORK,736,26114
10304,NEW YORK,220,17669
19153,PHILADELPHIA,67,3643
19140,PHILADELPHIA,272,13464
10470,NEW YORK,112,6070
11413,NEW YORK,101,12883
19139,PHILADELPHIA,296,11742
11436,NEW YORK,47,7308
11373,NEW YORK,607,56413
19114,PHILADELPHIA,138,11397
11363,NEW YORK,19,4161
19132,PHILADELPHIA,193,8488
11428,NEW YORK,43,9924
19136,PHILADELPHIA,132,10927
11230,NEW YORK,534,26136
11235,NEW YORK,506,28585
11364,NEW YORK,95,21044
19121,PHILADELPHIA,215,10904
10035,NEW YORK,337,14734
11221,NEW YORK,605,32515
10004,NEW YORK,27,2626
11104,NEW YORK,221,15094
19111,PHILADELPHIA,248,20402
11238,NEW YORK,420,32554
11435,NEW YORK,286,25112
10473,NEW YORK,354,20676
11375,NEW YORK,373,37093
10280,NEW YORK,73,4899
10018,NEW YORK,97,8247
11239,NEW YORK,150,5917
19143,PHILADELPHIA,301,20411
11694,NEW YORK,88,8409
10471,NEW YORK,102,12264
11418,NEW YORK,139,16846
11105,NEW YORK,245,17580
11214,NEW YORK,467,37773
11365,NEW YORK,182,23151
11224,NEW YORK,306,14849
11109,NEW YORK,54,4112
10027,NEW YORK,427,26480
10001,NEW YORK,199,18990
10036,NEW YORK,324,21685
19137,PHILADELPHIA,13,2452
10461,NEW YORK,252,24194
19145,PHILADELPHIA,148,18753
11434,NEW YORK,221,21043
10301,NEW YORK,157,16992
11223,NEW YORK,354,27697
11360,NEW YORK,46,11431
11419,NEW YORK,91,22850
11236,NEW YORK,336,27157
11421,NEW YORK,103,17813
11429,NEW YORK,41,10634
11216,NEW YORK,371,25552
11355,NEW YORK,366,53978
10019,NEW YORK,387,30585
11420,NEW YORK,77,21558
11433,NEW YORK,110,13088
10306,NEW YORK,112,24524
19150,PHILADELPHIA,49,7943
11205,NEW YORK,224,16012
11354,NEW YORK,225,34542
19104,PHILADELPHIA,231,21640
11209,NEW YORK,323,32559
11366,NEW YORK,27,7077
10302,NEW YORK,46,6797
10029,NEW YORK,512,32516
10310,NEW YORK,61,9873
10006,NEW YORK,23,2613
10005,NEW YORK,59,5739
10025,NEW YORK,507,53456
19133,PHILADELPHIA,84,5918
11234,NEW YORK,174,30638
11417,NEW YORK,58,14427
10022,NEW YORK,149,21652
11229,NEW YORK,265,30202
19128,PHILADELPHIA,110,13465
10065,NEW YORK,160,18126
11101,NEW YORK,187,24559
11218,NEW YORK,245,29744
11369,NEW YORK,67,16437
11422,NEW YORK,53,10199
19122,PHILADELPHIA,57,7740
19116,PHILADELPHIA,74,10339
11377,NEW YORK,309,46472
11367,NEW YORK,109,17484
11370,NEW YORK,51,13853
10309,NEW YORK,19,12317
10312,NEW YORK,43,25505
19146,PHILADELPHIA,107,19209
10038,NEW YORK,103,12954
10017,NEW YORK,74,11339
11220,NEW YORK,267,48933
10014,NEW YORK,162,19812
11414,NEW YORK,38,11371
19102,PHILADELPHIA,28,3200
11692,NEW YORK,59,6022
11232,NEW YORK,82,11915
11217,NEW YORK,160,22209
19129,PHILADELPHIA,30,4413
11102,NEW YORK,137,17623
10011,NEW YORK,220,32525
10305,NEW YORK,60,18950
19115,PHILADELPHIA,67,12964
11357,NEW YORK,41,21056
11426,NEW YORK,17,9990
11219,NEW YORK,205,24463
10314,NEW YORK,86,39331
11358,NEW YORK,65,21992
11378,NEW YORK,68,15739
19125,PHILADELPHIA,42,11430
11237,NEW YORK,169,20740
11106,NEW YORK,150,20632
10023,NEW YORK,223,40187
11361,NEW YORK,45,16069
11693,NEW YORK,25,4218
10024,NEW YORK,171,36746
19148,PHILADELPHIA,70,22370
10016,NEW YORK,210,35398
11416,NEW YORK,39,11543
11379,NEW YORK,54,16421
10002,NEW YORK,285,44776
10282,NEW YORK,20,2784
10012,NEW YORK,95,13465
10465,NEW YORK,66,17518
10308,NEW YORK,18,11679
10028,NEW YORK,151,28207
11206,NEW YORK,256,29383
10075,NEW YORK,58,16500
10475,NEW YORK,94,18608
11204,NEW YORK,131,27960
10021,NEW YORK,119,28097
19107,PHILADELPHIA,53,8609
19127,PHILADELPHIA,13,2416
11201,NEW YORK,156,40011
10003,NEW YORK,150,32195
11362,NEW YORK,12,10501
11004,NEW YORK,12,10196
10128,NEW YORK,166,36458
11385,NEW YORK,195,39501
10307,NEW YORK,10,5121
19106,PHILADELPHIA,27,6506
19147,PHILADELPHIA,61,20278
10007,NEW YORK,14,4885
11103,NEW YORK,96,18468
11356,NEW YORK,30,12054
11222,NEW YORK,91,22273
10013,NEW YORK,55,18230
11228,NEW YORK,42,19961
11211,NEW YORK,206,42171
19130,PHILADELPHIA,48,13337
11215,NEW YORK,99,39581
19123,PHILADELPHIA,31,7911
10010,NEW YORK,62,19408
10009,NEW YORK,143,32313
19118,PHILADELPHIA,12,4026
19103,PHILADELPHIA,47,14268
11231,NEW YORK,49,18704
10069,NEW YORK,9,4251
10044,NEW YORK,7,6481
