type,GEOID,racial_majority,week,week_date,week_filings,filings_avg,last_updated
County,35003,White,73,2021-05-16,0,0,2023-04-08
County,35003,White,74,2021-05-23,0,0,2023-04-08
County,35003,White,75,2021-05-30,0,0,2023-04-08
County,35003,White,76,2021-06-06,0,0.333333333333333,2023-04-08
County,35003,White,77,2021-06-13,0,0,2023-04-08
County,35003,White,78,2021-06-20,0,0,2023-04-08
County,35003,White,79,2021-06-27,0,0,2023-04-08
County,35003,White,80,2021-07-04,0,0,2023-04-08
County,35003,White,81,2021-07-11,0,0,2023-04-08
County,35003,White,82,2021-07-18,0,0.333333333333333,2023-04-08
County,35003,White,83,2021-07-25,0,0,2023-04-08
County,35003,White,84,2021-08-01,0,0,2023-04-08
County,35003,White,85,2021-08-08,0,0,2023-04-08
County,35003,White,86,2021-08-15,0,0.333333333333333,2023-04-08
County,35003,White,87,2021-08-22,0,0,2023-04-08
County,35003,White,88,2021-08-29,1,0,2023-04-08
County,35003,White,89,2021-09-05,0,0,2023-04-08
County,35003,White,90,2021-09-12,0,0,2023-04-08
County,35003,White,91,2021-09-19,0,0.333333333333333,2023-04-08
County,35003,White,92,2021-09-26,0,0,2023-04-08
County,35003,White,93,2021-10-03,0,0,2023-04-08
County,35003,White,94,2021-10-10,0,0,2023-04-08
County,35003,White,95,2021-10-17,0,0,2023-04-08
County,35003,White,96,2021-10-24,0,0,2023-04-08
County,35003,White,97,2021-10-31,0,0,2023-04-08
County,35003,White,98,2021-11-07,0,0,2023-04-08
County,35003,White,99,2021-11-14,0,0,2023-04-08
County,35003,White,100,2021-11-21,0,0,2023-04-08
County,35003,White,101,2021-11-28,0,0,2023-04-08
County,35003,White,102,2021-12-05,0,0,2023-04-08
County,35003,White,103,2021-12-12,0,0,2023-04-08
County,35003,White,104,2021-12-19,0,0,2023-04-08
County,35003,White,105,2021-12-26,0,0.333333333333333,2023-04-08
County,35003,White,106,2022-01-02,1,0,2023-04-08
County,35003,White,107,2022-01-09,0,0,2023-04-08
County,35003,White,108,2022-01-16,0,0,2023-04-08
County,35003,White,109,2022-01-23,0,0,2023-04-08
County,35003,White,110,2022-01-30,0,0,2023-04-08
County,35003,White,111,2022-02-06,0,0,2023-04-08
County,35003,White,112,2022-02-13,0,0,2023-04-08
County,35003,White,113,2022-02-20,0,0,2023-04-08
County,35003,White,114,2022-02-27,0,0,2023-04-08
County,35003,White,115,2022-03-06,1,0,2023-04-08
County,35003,White,116,2022-03-13,0,0,2023-04-08
County,35003,White,117,2022-03-20,0,0,2023-04-08
County,35003,White,118,2022-03-27,0,0,2023-04-08
County,35003,White,119,2022-04-03,0,0,2023-04-08
County,35003,White,120,2022-04-10,0,0,2023-04-08
County,35003,White,121,2022-04-17,0,0,2023-04-08
County,35003,White,122,2022-04-24,0,0,2023-04-08
County,35003,White,123,2022-05-01,0,0,2023-04-08
County,35003,White,124,2022-05-08,1,0,2023-04-08
County,35003,White,125,2022-05-15,0,0,2023-04-08
County,35003,White,126,2022-05-22,0,0,2023-04-08
County,35003,White,127,2022-05-29,0,0,2023-04-08
County,35003,White,128,2022-06-05,0,0.333333333333333,2023-04-08
County,35003,White,129,2022-06-12,0,0,2023-04-08
County,35003,White,130,2022-06-19,0,0,2023-04-08
County,35003,White,131,2022-06-26,0,0,2023-04-08
County,35003,White,132,2022-07-03,0,0,2023-04-08
County,35003,White,133,2022-07-10,0,0,2023-04-08
County,35003,White,134,2022-07-17,0,0,2023-04-08
County,35003,White,135,2022-07-24,0,0.333333333333333,2023-04-08
County,35003,White,136,2022-07-31,0,0,2023-04-08
County,35003,White,137,2022-08-07,1,0,2023-04-08
County,35003,White,138,2022-08-14,1,0,2023-04-08
County,35003,White,139,2022-08-21,0,0.333333333333333,2023-04-08
County,35003,White,140,2022-08-28,0,0,2023-04-08
County,35003,White,141,2022-09-04,0,0,2023-04-08
County,35003,White,142,2022-09-11,0,0,2023-04-08
County,35003,White,143,2022-09-18,1,0.333333333333333,2023-04-08
County,35003,White,144,2022-09-25,0,0,2023-04-08
County,35003,White,145,2022-10-02,0,0,2023-04-08
County,35003,White,146,2022-10-09,0,0,2023-04-08
County,35003,White,147,2022-10-16,0,0,2023-04-08
County,35003,White,148,2022-10-23,0,0,2023-04-08
County,35003,White,149,2022-10-30,0,0,2023-04-08
County,35003,White,150,2022-11-06,0,0,2023-04-08
County,35003,White,151,2022-11-13,0,0,2023-04-08
County,35003,White,152,2022-11-20,0,0,2023-04-08
County,35003,White,153,2022-11-27,0,0,2023-04-08
County,35003,White,154,2022-12-04,0,0,2023-04-08
County,35003,White,155,2022-12-11,0,0,2023-04-08
County,35003,White,156,2022-12-18,0,0,2023-04-08
County,35003,White,157,2022-12-25,0,0.333333333333333,2023-04-08
County,35003,White,158,2023-01-01,0,0,2023-04-08
County,35003,White,159,2023-01-08,0,0,2023-04-08
County,35003,White,160,2023-01-15,0,0,2023-04-08
County,35003,White,161,2023-01-22,0,0,2023-04-08
County,35003,White,162,2023-01-29,0,0,2023-04-08
County,35003,White,163,2023-02-05,0,0,2023-04-08
County,35003,White,164,2023-02-12,0,0,2023-04-08
County,35003,White,165,2023-02-19,0,0,2023-04-08
County,35003,White,166,2023-02-26,0,0,2023-04-08
County,35003,White,167,2023-03-05,0,0,2023-04-08
County,35003,White,168,2023-03-12,0,0,2023-04-08
