type,GEOID,month,filings_2020,filings_avg,last_updated
Census Tract,51001980100,06/2021,0,0,2023-01-07
Census Tract,51001980100,07/2021,0,0,2023-01-07
Census Tract,51001980100,08/2021,0,0,2023-01-07
Census Tract,51001980100,09/2021,0,0,2023-01-07
Census Tract,51001980100,10/2021,0,0,2023-01-07
Census Tract,51001980100,11/2021,0,0,2023-01-07
Census Tract,51001980100,12/2021,0,0,2023-01-07
Census Tract,51001980100,01/2022,0,0,2023-01-07
Census Tract,51001980100,02/2022,0,0,2023-01-07
Census Tract,51001980100,03/2022,0,0,2023-01-07
Census Tract,51001980100,04/2022,0,0,2023-01-07
Census Tract,51001980100,05/2022,0,0,2023-01-07
Census Tract,51001980100,06/2022,0,0,2023-01-07
Census Tract,51001980100,07/2022,0,0,2023-01-07
Census Tract,51001980100,08/2022,0,0,2023-01-07
Census Tract,51001980100,09/2022,0,0,2023-01-07
Census Tract,51001980100,10/2022,0,0,2023-01-07
Census Tract,51001980100,11/2022,0,0,2023-01-07
Census Tract,51001980100,12/2022,0,0,2023-01-07
Census Tract,51001980100,01/2023,0,0,2023-01-07
Census Tract,51001980200,01/2020,0,0,2023-01-07
Census Tract,51001980200,02/2020,0,0,2023-01-07
Census Tract,51001980200,03/2020,0,0,2023-01-07
Census Tract,51001980200,04/2020,0,0,2023-01-07
Census Tract,51001980200,05/2020,0,0,2023-01-07
Census Tract,51001980200,06/2020,0,0,2023-01-07
Census Tract,51001980200,07/2020,0,0,2023-01-07
Census Tract,51001980200,08/2020,0,0,2023-01-07
Census Tract,51001980200,09/2020,0,0,2023-01-07
Census Tract,51001980200,10/2020,0,0,2023-01-07
Census Tract,51001980200,11/2020,0,0,2023-01-07
Census Tract,51001980200,12/2020,0,0,2023-01-07
Census Tract,51001980200,01/2021,0,0,2023-01-07
Census Tract,51001980200,02/2021,0,0,2023-01-07
Census Tract,51001980200,03/2021,0,0,2023-01-07
Census Tract,51001980200,04/2021,0,0,2023-01-07
Census Tract,51001980200,05/2021,0,0,2023-01-07
Census Tract,51001980200,06/2021,0,0,2023-01-07
Census Tract,51001980200,07/2021,0,0,2023-01-07
Census Tract,51001980200,08/2021,0,0,2023-01-07
Census Tract,51001980200,09/2021,0,0,2023-01-07
Census Tract,51001980200,10/2021,0,0,2023-01-07
Census Tract,51001980200,11/2021,0,0,2023-01-07
Census Tract,51001980200,12/2021,0,0,2023-01-07
Census Tract,51001980200,01/2022,0,0,2023-01-07
Census Tract,51001980200,02/2022,0,0,2023-01-07
Census Tract,51001980200,03/2022,0,0,2023-01-07
Census Tract,51001980200,04/2022,0,0,2023-01-07
Census Tract,51001980200,05/2022,0,0,2023-01-07
Census Tract,51001980200,06/2022,0,0,2023-01-07
Census Tract,51001980200,07/2022,0,0,2023-01-07
Census Tract,51001980200,08/2022,0,0,2023-01-07
Census Tract,51001980200,09/2022,0,0,2023-01-07
Census Tract,51001980200,10/2022,0,0,2023-01-07
Census Tract,51001980200,11/2022,0,0,2023-01-07
Census Tract,51001980200,12/2022,0,0,2023-01-07
Census Tract,51001980200,01/2023,0,0,2023-01-07
Census Tract,51001990100,01/2020,0,0,2023-01-07
Census Tract,51001990100,02/2020,0,0,2023-01-07
Census Tract,51001990100,03/2020,0,0,2023-01-07
Census Tract,51001990100,04/2020,0,0,2023-01-07
Census Tract,51001990100,05/2020,0,0,2023-01-07
Census Tract,51001990100,06/2020,0,0,2023-01-07
Census Tract,51001990100,07/2020,0,0,2023-01-07
Census Tract,51001990100,08/2020,0,0,2023-01-07
Census Tract,51001990100,09/2020,0,0,2023-01-07
Census Tract,51001990100,10/2020,0,0,2023-01-07
Census Tract,51001990100,11/2020,0,0,2023-01-07
Census Tract,51001990100,12/2020,0,0,2023-01-07
Census Tract,51001990100,01/2021,0,0,2023-01-07
Census Tract,51001990100,02/2021,0,0,2023-01-07
Census Tract,51001990100,03/2021,0,0,2023-01-07
Census Tract,51001990100,04/2021,0,0,2023-01-07
Census Tract,51001990100,05/2021,0,0,2023-01-07
Census Tract,51001990100,06/2021,0,0,2023-01-07
Census Tract,51001990100,07/2021,0,0,2023-01-07
Census Tract,51001990100,08/2021,0,0,2023-01-07
Census Tract,51001990100,09/2021,0,0,2023-01-07
Census Tract,51001990100,10/2021,0,0,2023-01-07
Census Tract,51001990100,11/2021,0,0,2023-01-07
Census Tract,51001990100,12/2021,0,0,2023-01-07
Census Tract,51001990100,01/2022,0,0,2023-01-07
Census Tract,51001990100,02/2022,0,0,2023-01-07
