type,GEOID,week,week_date,filings_2020,filings_avg,last_updated
Census Tract,10001040501,15,2020-04-05,0,0.5,2021-07-24
Census Tract,10001040501,16,2020-04-12,0,4.75,2021-07-24
Census Tract,10001040501,17,2020-04-19,0,2.25,2021-07-24
Census Tract,10001040501,18,2020-04-26,0,0.5,2021-07-24
Census Tract,10001040501,19,2020-05-03,0,1.25,2021-07-24
Census Tract,10001040501,20,2020-05-10,0,4.75,2021-07-24
Census Tract,10001040501,21,2020-05-17,0,5,2021-07-24
Census Tract,10001040501,22,2020-05-24,0,2.25,2021-07-24
Census Tract,10001040501,23,2020-05-31,0,1,2021-07-24
Census Tract,10001040501,24,2020-06-07,0,2.5,2021-07-24
Census Tract,10001040501,25,2020-06-14,0,5.75,2021-07-24
Census Tract,10001040501,26,2020-06-21,0,1.5,2021-07-24
Census Tract,10001040501,27,2020-06-28,0,1,2021-07-24
Census Tract,10001040501,28,2020-07-05,1,2.25,2021-07-24
Census Tract,10001040501,29,2020-07-12,0,5.75,2021-07-24
Census Tract,10001040501,30,2020-07-19,0,2.25,2021-07-24
Census Tract,10001040501,31,2020-07-26,0,3,2021-07-24
Census Tract,10001040501,32,2020-08-02,0,0.25,2021-07-24
Census Tract,10001040501,33,2020-08-09,3,2.75,2021-07-24
Census Tract,10001040501,34,2020-08-16,0,4.5,2021-07-24
Census Tract,10001040501,35,2020-08-23,0,1.25,2021-07-24
Census Tract,10001040501,36,2020-08-30,5,1,2021-07-24
Census Tract,10001040501,37,2020-09-06,0,2.25,2021-07-24
Census Tract,10001040501,38,2020-09-13,1,9,2021-07-24
Census Tract,10001040501,39,2020-09-20,2,1.5,2021-07-24
Census Tract,10001040501,40,2020-09-27,0,0.75,2021-07-24
Census Tract,10001040501,41,2020-10-04,0,1,2021-07-24
Census Tract,10001040501,42,2020-10-11,1,3.5,2021-07-24
Census Tract,10001040501,43,2020-10-18,0,5,2021-07-24
Census Tract,10001040501,44,2020-10-25,0,5.5,2021-07-24
Census Tract,10001040501,45,2020-11-01,0,2,2021-07-24
Census Tract,10001040501,46,2020-11-08,0,1.5,2021-07-24
Census Tract,10001040501,47,2020-11-15,1,4.25,2021-07-24
Census Tract,10001040501,48,2020-11-22,0,1.25,2021-07-24
Census Tract,10001040501,49,2020-11-29,0,1.25,2021-07-24
Census Tract,10001040501,50,2020-12-06,1,5,2021-07-24
Census Tract,10001040501,51,2020-12-13,2,10.5,2021-07-24
Census Tract,10001040501,52,2020-12-20,0,1.75,2021-07-24
Census Tract,10001040501,53,2020-12-27,0,1.5,2021-07-24
Census Tract,10001040501,54,2021-01-03,2,0.75,2021-07-24
Census Tract,10001040501,55,2021-01-10,0,5,2021-07-24
Census Tract,10001040501,56,2021-01-17,0,8.5,2021-07-24
Census Tract,10001040501,57,2021-01-24,1,4.5,2021-07-24
Census Tract,10001040501,58,2021-01-31,2,4.25,2021-07-24
Census Tract,10001040501,59,2021-02-07,1,0.5,2021-07-24
Census Tract,10001040501,60,2021-02-14,1,4.25,2021-07-24
Census Tract,10001040501,61,2021-02-21,0,1.5,2021-07-24
Census Tract,10001040501,62,2021-02-28,1,1,2021-07-24
Census Tract,10001040501,63,2021-03-07,2,1,2021-07-24
Census Tract,10001040501,64,2021-03-14,1,7,2021-07-24
Census Tract,10001040501,65,2021-03-21,3,3,2021-07-24
Census Tract,10001040501,66,2021-03-28,1,1.25,2021-07-24
Census Tract,10001040501,67,2021-04-04,0,1,2021-07-24
Census Tract,10001040501,68,2021-04-11,5,3.25,2021-07-24
Census Tract,10001040501,69,2021-04-18,0,3.5,2021-07-24
Census Tract,10001040501,70,2021-04-25,0,0.75,2021-07-24
Census Tract,10001040501,71,2021-05-02,1,1,2021-07-24
Census Tract,10001040501,72,2021-05-09,2,1.75,2021-07-24
Census Tract,10001040501,73,2021-05-16,2,8,2021-07-24
Census Tract,10001040501,74,2021-05-23,2,2.5,2021-07-24
Census Tract,10001040501,75,2021-05-30,1,1,2021-07-24
Census Tract,10001040501,76,2021-06-06,0,2.5,2021-07-24
Census Tract,10001040501,77,2021-06-13,1,5.5,2021-07-24
Census Tract,10001040501,78,2021-06-20,2,1.5,2021-07-24
Census Tract,10001040501,79,2021-06-27,2,1.25,2021-07-24
Census Tract,10001040501,80,2021-07-04,2,2.25,2021-07-24
Census Tract,10001040501,81,2021-07-11,4,5.25,2021-07-24
Census Tract,10001040501,82,2021-07-18,6,2,2021-07-24
Census Tract,10001040502,1,2019-12-29,0,0.25,2021-07-24
Census Tract,10001040502,2,2020-01-05,0,0,2021-07-24
Census Tract,10001040502,3,2020-01-12,1,0.75,2021-07-24
Census Tract,10001040502,4,2020-01-19,0,0.5,2021-07-24
