type,GEOID,racial_majority,week,week_date,filings_2020,filings_avg
Zip Code,10008,Other,20,2020-05-10,0,0
Zip Code,10008,Other,21,2020-05-17,0,0
Zip Code,10008,Other,22,2020-05-24,0,0
Zip Code,10008,Other,23,2020-05-31,0,0
Zip Code,10008,Other,24,2020-06-07,0,0
Zip Code,10008,Other,25,2020-06-14,0,0
Zip Code,10008,Other,26,2020-06-21,0,0
Zip Code,10008,Other,27,2020-06-28,0,0
Zip Code,10008,Other,28,2020-07-05,0,0
Zip Code,10008,Other,29,2020-07-12,0,0
Zip Code,10008,Other,30,2020-07-19,0,0
Zip Code,10008,Other,31,2020-07-26,0,0
Zip Code,10008,Other,32,2020-08-02,0,0
Zip Code,10008,Other,33,2020-08-09,0,0
Zip Code,10008,Other,34,2020-08-16,0,0
Zip Code,10008,Other,35,2020-08-23,0,0
Zip Code,10008,Other,36,2020-08-30,0,0
Zip Code,10008,Other,37,2020-09-06,0,0
Zip Code,10008,Other,38,2020-09-13,0,0
Zip Code,10008,Other,39,2020-09-20,0,0
Zip Code,10008,Other,40,2020-09-27,0,0
Zip Code,10008,Other,41,2020-10-04,0,0
Zip Code,10008,Other,42,2020-10-11,0,0
Zip Code,10008,Other,43,2020-10-18,0,0
Zip Code,10008,Other,44,2020-10-25,0,0
Zip Code,10008,Other,45,2020-11-01,0,0
Zip Code,10008,Other,46,2020-11-08,0,0
Zip Code,10008,Other,47,2020-11-15,0,0
Zip Code,10008,Other,48,2020-11-22,0,0
Zip Code,10008,Other,49,2020-11-29,0,0
Zip Code,10009,White,1,2019-12-29,60,7
Zip Code,10009,White,2,2020-01-05,2,28.6666666666667
Zip Code,10009,White,3,2020-01-12,17,67.6666666666667
Zip Code,10009,White,4,2020-01-19,39,41.3333333333333
Zip Code,10009,White,5,2020-01-26,48,30.6666666666667
Zip Code,10009,White,6,2020-02-02,8,38.3333333333333
Zip Code,10009,White,7,2020-02-09,82,31.6666666666667
Zip Code,10009,White,8,2020-02-16,6,18.3333333333333
Zip Code,10009,White,9,2020-02-23,14,49.6666666666667
Zip Code,10009,White,10,2020-03-01,19,16.6666666666667
Zip Code,10009,White,11,2020-03-08,27,47
Zip Code,10009,White,12,2020-03-15,1,47
Zip Code,10009,White,13,2020-03-22,0,20.3333333333333
Zip Code,10009,White,14,2020-03-29,0,16.6666666666667
Zip Code,10009,White,15,2020-04-05,0,33
Zip Code,10009,White,16,2020-04-12,0,46.6666666666667
Zip Code,10009,White,17,2020-04-19,0,19.3333333333333
Zip Code,10009,White,18,2020-04-26,0,21
Zip Code,10009,White,19,2020-05-03,0,41.6666666666667
Zip Code,10009,White,20,2020-05-10,0,14
Zip Code,10009,White,21,2020-05-17,0,19.6666666666667
Zip Code,10009,White,22,2020-05-24,0,35
Zip Code,10009,White,23,2020-05-31,0,18.6666666666667
Zip Code,10009,White,24,2020-06-07,0,30
Zip Code,10009,White,25,2020-06-14,0,35.6666666666667
Zip Code,10009,White,26,2020-06-21,0,37.6666666666667
Zip Code,10009,White,27,2020-06-28,0,9
Zip Code,10009,White,28,2020-07-05,0,15
Zip Code,10009,White,29,2020-07-12,3,51.3333333333333
Zip Code,10009,White,30,2020-07-19,2,65
Zip Code,10009,White,31,2020-07-26,4,17
Zip Code,10009,White,32,2020-08-02,2,33.6666666666667
Zip Code,10009,White,33,2020-08-09,4,76.3333333333333
Zip Code,10009,White,34,2020-08-16,4,34
Zip Code,10009,White,35,2020-08-23,5,18.6666666666667
Zip Code,10009,White,36,2020-08-30,10,10.3333333333333
Zip Code,10009,White,37,2020-09-06,2,52.3333333333333
Zip Code,10009,White,38,2020-09-13,5,53.3333333333333
Zip Code,10009,White,39,2020-09-20,3,12.6666666666667
Zip Code,10009,White,40,2020-09-27,7,29.6666666666667
Zip Code,10009,White,41,2020-10-04,0,16
Zip Code,10009,White,42,2020-10-11,2,34
Zip Code,10009,White,43,2020-10-18,7,26.6666666666667
Zip Code,10009,White,44,2020-10-25,2,40.3333333333333
Zip Code,10009,White,45,2020-11-01,2,29
Zip Code,10009,White,46,2020-11-08,9,42.6666666666667
Zip Code,10009,White,47,2020-11-15,4,32.3333333333333
Zip Code,10009,White,48,2020-11-22,3,11.3333333333333
Zip Code,10009,White,49,2020-11-29,1,17
Zip Code,10010,White,1,2019-12-29,1,0.666666666666667
Zip Code,10010,White,2,2020-01-05,5,9
Zip Code,10010,White,3,2020-01-12,3,4.66666666666667
Zip Code,10010,White,4,2020-01-19,1,5
Zip Code,10010,White,5,2020-01-26,4,3
Zip Code,10010,White,6,2020-02-02,7,9.66666666666667
Zip Code,10010,White,7,2020-02-09,1,7
Zip Code,10010,White,8,2020-02-16,2,3
Zip Code,10010,White,9,2020-02-23,1,12.3333333333333
Zip Code,10010,White,10,2020-03-01,1,4
Zip Code,10010,White,11,2020-03-08,3,5
Zip Code,10010,White,12,2020-03-15,6,7.66666666666667
Zip Code,10010,White,13,2020-03-22,0,9
Zip Code,10010,White,14,2020-03-29,0,3
Zip Code,10010,White,15,2020-04-05,0,5
Zip Code,10010,White,16,2020-04-12,0,5
