type,GEOID,racial_majority,month,filings_2020,filings_avg,last_updated
Census Tract,47157000600,Black,07/2023,4,3.5,2025-03-15
Census Tract,47157000600,Black,08/2023,2,3.75,2025-03-15
Census Tract,47157000600,Black,09/2023,3,4.5,2025-03-15
Census Tract,47157000600,Black,10/2023,8,3.5,2025-03-15
Census Tract,47157000600,Black,11/2023,2,2.75,2025-03-15
Census Tract,47157000600,Black,12/2023,1,2,2025-03-15
Census Tract,47157000600,Black,01/2024,1,4.75,2025-03-15
Census Tract,47157000600,Black,02/2024,2,3.75,2025-03-15
Census Tract,47157000600,Black,03/2024,3,2.5,2025-03-15
Census Tract,47157000600,Black,04/2024,1,2.5,2025-03-15
Census Tract,47157000600,Black,05/2024,5,2.5,2025-03-15
Census Tract,47157000600,Black,06/2024,5,3.75,2025-03-15
Census Tract,47157000600,Black,07/2024,6,3.5,2025-03-15
Census Tract,47157000600,Black,08/2024,3,3.75,2025-03-15
Census Tract,47157000600,Black,09/2024,4,4.5,2025-03-15
Census Tract,47157000600,Black,10/2024,3,3.5,2025-03-15
Census Tract,47157000600,Black,11/2024,5,2.75,2025-03-15
Census Tract,47157000600,Black,12/2024,4,2,2025-03-15
Census Tract,47157000600,Black,01/2025,1,4.75,2025-03-15
Census Tract,47157000600,Black,02/2025,2,3.75,2025-03-15
Census Tract,47157000600,Black,03/2025,0,1,2025-03-15
Census Tract,47157000700,Black,01/2020,14,39.25,2025-03-15
Census Tract,47157000700,Black,02/2020,4,32.5,2025-03-15
Census Tract,47157000700,Black,03/2020,16,41,2025-03-15
Census Tract,47157000700,Black,04/2020,2,30.25,2025-03-15
Census Tract,47157000700,Black,05/2020,5,31.5,2025-03-15
Census Tract,47157000700,Black,06/2020,11,50.25,2025-03-15
Census Tract,47157000700,Black,07/2020,33,30.5,2025-03-15
Census Tract,47157000700,Black,08/2020,10,49.25,2025-03-15
Census Tract,47157000700,Black,09/2020,29,35.5,2025-03-15
Census Tract,47157000700,Black,10/2020,16,36.5,2025-03-15
Census Tract,47157000700,Black,11/2020,4,30.5,2025-03-15
Census Tract,47157000700,Black,12/2020,11,20.5,2025-03-15
Census Tract,47157000700,Black,01/2021,6,39.25,2025-03-15
Census Tract,47157000700,Black,02/2021,4,32.5,2025-03-15
Census Tract,47157000700,Black,03/2021,37,41,2025-03-15
Census Tract,47157000700,Black,04/2021,31,30.25,2025-03-15
Census Tract,47157000700,Black,05/2021,13,31.5,2025-03-15
Census Tract,47157000700,Black,06/2021,26,50.25,2025-03-15
Census Tract,47157000700,Black,07/2021,5,30.5,2025-03-15
Census Tract,47157000700,Black,08/2021,21,49.25,2025-03-15
Census Tract,47157000700,Black,09/2021,45,35.5,2025-03-15
Census Tract,47157000700,Black,10/2021,10,36.5,2025-03-15
Census Tract,47157000700,Black,11/2021,32,30.5,2025-03-15
Census Tract,47157000700,Black,12/2021,37,20.5,2025-03-15
Census Tract,47157000700,Black,01/2022,38,39.25,2025-03-15
Census Tract,47157000700,Black,02/2022,22,32.5,2025-03-15
Census Tract,47157000700,Black,03/2022,8,41,2025-03-15
