type,GEOID,racial_majority,month,filings_2020,filings_avg,filings_avg_prepandemic_baseline,last_updated
Census Tract,45045000800,Black,03/2021,4,2,7,
Census Tract,45045000800,Black,04/2021,3,5,8.75,
Census Tract,45045000800,Black,05/2021,3,3,6,
Census Tract,45045000800,Black,06/2021,3,5,7.5,
Census Tract,45045000800,Black,07/2021,6,3.5,8.75,
Census Tract,45045000800,Black,08/2021,3,3,8.5,
Census Tract,45045000800,Black,09/2021,3,3,8.25,
Census Tract,45045000800,Black,10/2021,11,4.5,7,
Census Tract,45045000800,Black,11/2021,6,3.5,6.75,
Census Tract,45045000800,Black,12/2021,7,4,7,
Census Tract,45045000800,Black,01/2022,2,6,11.5,
Census Tract,45045000800,Black,02/2022,5,3.5,7.5,
Census Tract,45045000800,Black,03/2022,2,2,7,
Census Tract,45045000800,Black,04/2022,7,5,8.75,
Census Tract,45045000800,Black,05/2022,5,3,6,
Census Tract,45045000800,Black,06/2022,7,5,7.5,
Census Tract,45045000800,Black,07/2022,8,3.5,8.75,
Census Tract,45045000800,Black,08/2022,1,3,8.5,
Census Tract,45045000800,Black,09/2022,4,3,8.25,
Census Tract,45045000800,Black,10/2022,3,4.5,7,
Census Tract,45045000800,Black,11/2022,1,3.5,6.75,
Census Tract,45045000800,Black,12/2022,1,4,7,
Census Tract,45045000800,Black,01/2023,5,6,11.5,
Census Tract,45045000800,Black,02/2023,2,3.5,7.5,
Census Tract,45045000800,Black,03/2023,3,2,7,
Census Tract,45045000800,Black,04/2023,5,5,8.75,
Census Tract,45045000800,Black,05/2023,4,3,6,
Census Tract,45045000800,Black,06/2023,3,5,7.5,
Census Tract,45045000800,Black,07/2023,2,3.5,8.75,
Census Tract,45045000800,Black,08/2023,1,3,8.5,
Census Tract,45045000800,Black,09/2023,3,3,8.25,
Census Tract,45045000800,Black,10/2023,7,4.5,7,
Census Tract,45045000800,Black,11/2023,4,3.5,6.75,
Census Tract,45045000800,Black,12/2023,5,4,7,
Census Tract,45045000800,Black,01/2024,7,6,11.5,
Census Tract,45045000800,Black,02/2024,5,3.5,7.5,
Census Tract,45045000800,Black,03/2024,1,2,7,
Census Tract,45045000800,Black,04/2024,5,5,8.75,
Census Tract,45045000800,Black,05/2024,2,3,6,
Census Tract,45045000800,Black,06/2024,7,5,7.5,
Census Tract,45045000800,Black,07/2024,5,3.5,8.75,
Census Tract,45045000800,Black,08/2024,5,3,8.5,
Census Tract,45045000800,Black,09/2024,3,3,8.25,
Census Tract,45045000800,Black,10/2024,2,4.5,7,
Census Tract,45045000800,Black,11/2024,3,3.5,6.75,
Census Tract,45045000800,Black,12/2024,3,4,7,
Census Tract,45045000800,Black,01/2025,4,6,11.5,
Census Tract,45045000800,Black,02/2025,6,3.5,7.5,
Census Tract,45045000800,Black,03/2025,3,2,7,
Census Tract,45045000800,Black,04/2025,3,5,8.75,
Census Tract,45045000800,Black,05/2025,4,3,6,
Census Tract,45045000800,Black,06/2025,3,5,7.5,
Census Tract,45045000800,Black,07/2025,3,3.5,8.75,
Census Tract,45045000800,Black,08/2025,0,3,8.5,
