type,GEOID,racial_majority,xfilemonth,xfileyear,month_filings,filings_avg,last_updated
County,09013,White,7,2020,3,33.6666666666667,2023-04-08
County,09013,White,8,2020,3,26.3333333333333,2023-04-08
County,09013,White,9,2020,5,33,2023-04-08
County,09013,White,10,2020,10,39,2023-04-08
County,09013,White,11,2020,6,27.6666666666667,2023-04-08
County,09013,White,12,2020,15,26.6666666666667,2023-04-08
County,09013,White,1,2021,8,30,2023-04-08
County,09013,White,2,2021,15,28.6666666666667,2023-04-08
County,09013,White,3,2021,17,26,2023-04-08
County,09013,White,4,2021,14,26,2023-04-08
County,09013,White,5,2021,19,26,2023-04-08
County,09013,White,6,2021,12,28,2023-04-08
County,09013,White,7,2021,2,33.6666666666667,2023-04-08
County,09013,White,8,2021,12,26.3333333333333,2023-04-08
County,09013,White,9,2021,20,33,2023-04-08
County,09013,White,10,2021,26,39,2023-04-08
County,09013,White,11,2021,14,27.6666666666667,2023-04-08
County,09013,White,12,2021,21,26.6666666666667,2023-04-08
County,09013,White,1,2022,18,30,2023-04-08
County,09013,White,2,2022,30,28.6666666666667,2023-04-08
County,09013,White,3,2022,38,26,2023-04-08
County,09013,White,4,2022,36,26,2023-04-08
County,09013,White,5,2022,40,26,2023-04-08
County,09013,White,6,2022,29,28,2023-04-08
County,09013,White,7,2022,29,33.6666666666667,2023-04-08
County,09013,White,8,2022,33,26.3333333333333,2023-04-08
County,09013,White,9,2022,29,33,2023-04-08
County,09013,White,10,2022,38,39,2023-04-08
County,09013,White,11,2022,39,27.6666666666667,2023-04-08
County,09013,White,12,2022,18,26.6666666666667,2023-04-08
County,09013,White,1,2023,37,30,2023-04-08
County,09013,White,2,2023,29,28.6666666666667,2023-04-08
County,09013,White,3,2023,23,26,2023-04-08
County,09013,White,4,2023,5,9,2023-04-08
County,09015,White,1,2020,30,45.3333333333333,2023-04-08
County,09015,White,2,2020,46,44,2023-04-08
County,09015,White,3,2020,20,38.6666666666667,2023-04-08
County,09015,White,4,2020,4,40,2023-04-08
County,09015,White,5,2020,2,42.6666666666667,2023-04-08
County,09015,White,6,2020,0,35,2023-04-08
County,09015,White,7,2020,4,49.6666666666667,2023-04-08
County,09015,White,8,2020,7,50.3333333333333,2023-04-08
County,09015,White,9,2020,8,50,2023-04-08
County,09015,White,10,2020,5,45.6666666666667,2023-04-08
County,09015,White,11,2020,3,45,2023-04-08
County,09015,White,12,2020,11,42.6666666666667,2023-04-08
County,09015,White,1,2021,19,45.3333333333333,2023-04-08
County,09015,White,2,2021,17,44,2023-04-08
County,09015,White,3,2021,24,38.6666666666667,2023-04-08
County,09015,White,4,2021,18,40,2023-04-08
County,09015,White,5,2021,12,42.6666666666667,2023-04-08
County,09015,White,6,2021,16,35,2023-04-08
County,09015,White,7,2021,11,49.6666666666667,2023-04-08
County,09015,White,8,2021,14,50.3333333333333,2023-04-08
County,09015,White,9,2021,31,50,2023-04-08
County,09015,White,10,2021,28,45.6666666666667,2023-04-08
County,09015,White,11,2021,48,45,2023-04-08
County,09015,White,12,2021,41,42.6666666666667,2023-04-08
County,09015,White,1,2022,31,45.3333333333333,2023-04-08
County,09015,White,2,2022,31,44,2023-04-08
County,09015,White,3,2022,83,38.6666666666667,2023-04-08
County,09015,White,4,2022,48,40,2023-04-08
County,09015,White,5,2022,63,42.6666666666667,2023-04-08
County,09015,White,6,2022,53,35,2023-04-08
County,09015,White,7,2022,65,49.6666666666667,2023-04-08
County,09015,White,8,2022,55,50.3333333333333,2023-04-08
County,09015,White,9,2022,51,50,2023-04-08
County,09015,White,10,2022,54,45.6666666666667,2023-04-08
County,09015,White,11,2022,59,45,2023-04-08
County,09015,White,12,2022,38,42.6666666666667,2023-04-08
County,09015,White,1,2023,39,45.3333333333333,2023-04-08
County,09015,White,2,2023,45,44,2023-04-08
County,09015,White,3,2023,45,38.6666666666667,2023-04-08
County,09015,White,4,2023,11,7,2023-04-08
