type,xcourtcofips,GEOID,racial_majority,month,filings_2020,filings_avg,last_updated
Census Tract,12086,12086000905,Latinx,10/2022,1,0.333333333333333,2024-03-30
Census Tract,12086,12086000905,Latinx,03/2023,1,0.666666666666667,2024-03-30
Census Tract,12086,12086000905,Latinx,06/2023,1,0.5,2024-03-30
Census Tract,12086,12086000907,Latinx,10/2023,1,0.833333333333333,2024-03-30
Census Tract,12086,12086001003,Black,01/2023,2,4.66666666666667,2024-03-30
Census Tract,12086,12086001003,Black,05/2023,2,2.66666666666667,2024-03-30
Census Tract,12086,12086001003,Black,07/2023,1,5,2024-03-30
Census Tract,12086,12086001003,Black,11/2023,1,2.83333333333333,2024-03-30
Census Tract,12086,12086001004,Black,04/2023,2,7.83333333333333,2024-03-30
Census Tract,12086,12086001004,Black,06/2023,1,11,2024-03-30
Census Tract,12086,12086001004,Black,08/2023,1,12.3333333333333,2024-03-30
Census Tract,12086,12086001004,Black,11/2023,1,8.16666666666667,2024-03-30
Census Tract,12086,12086001005,Black,03/2023,1,1.66666666666667,2024-03-30
Census Tract,12086,12086001006,Black,05/2022,1,3,2024-03-30
Census Tract,12086,12086001006,Black,10/2022,11,4,2024-03-30
Census Tract,12086,12086001006,Black,02/2023,1,3.33333333333333,2024-03-30
Census Tract,12086,12086001006,Black,03/2023,6,1.83333333333333,2024-03-30
Census Tract,12086,12086001006,Black,05/2023,7,3,2024-03-30
Census Tract,12086,12086001006,Black,08/2023,3,7,2024-03-30
Census Tract,12086,12086001006,Black,09/2023,4,3.5,2024-03-30
Census Tract,12086,12086001006,Black,02/2024,2,3.33333333333333,2024-03-30
Census Tract,12086,12086001007,Black,12/2022,1,2.16666666666667,2024-03-30
Census Tract,12086,12086001008,Black,02/2021,1,3.5,2024-03-30
Census Tract,12086,12086001008,Black,01/2023,1,1.66666666666667,2024-03-30
Census Tract,12086,12086001008,Black,12/2023,1,2.16666666666667,2024-03-30
Census Tract,12086,12086001101,Black,01/2022,1,0.5,2024-03-30
Census Tract,12086,12086001101,Black,11/2022,1,1.5,2024-03-30
Census Tract,12086,12086001101,Black,12/2022,1,1.33333333333333,2024-03-30
Census Tract,12086,12086001102,Other,03/2023,1,0.5,2024-03-30
Census Tract,12086,12086001102,Other,07/2023,1,0.333333333333333,2024-03-30
Census Tract,12086,12086001103,Black,11/2022,1,2.33333333333333,2024-03-30
Census Tract,12086,12086001103,Black,02/2023,2,1.66666666666667,2024-03-30
Census Tract,12086,12086001103,Black,09/2023,1,2.16666666666667,2024-03-30
Census Tract,12086,12086001104,Other,11/2022,1,1,2024-03-30
Census Tract,12086,12086001104,Other,12/2022,1,0.5,2024-03-30
Census Tract,12086,12086001104,Other,03/2023,1,0.666666666666667,2024-03-30
Census Tract,12086,12086001104,Other,05/2023,1,0.5,2024-03-30
Census Tract,12086,12086001104,Other,06/2023,1,15.3333333333333,2024-03-30
Census Tract,12086,12086001204,Latinx,12/2022,1,1.83333333333333,2024-03-30
Census Tract,12086,12086001204,Latinx,07/2023,1,2.16666666666667,2024-03-30
Census Tract,12086,12086001204,Latinx,09/2023,1,1.5,2024-03-30
Census Tract,12086,12086001205,White,11/2022,2,0.5,2024-03-30
Census Tract,12086,12086001205,White,06/2023,1,0.5,2024-03-30
Census Tract,12086,12086001205,White,09/2023,1,0.333333333333333,2024-03-30
Census Tract,12086,12086001205,White,11/2023,1,0.5,2024-03-30
Census Tract,12086,12086001205,White,12/2023,1,0.333333333333333,2024-03-30
Census Tract,12086,12086001206,White,04/2023,1,1,2024-03-30
Census Tract,12086,12086001206,White,05/2023,1,1.83333333333333,2024-03-30
Census Tract,12086,12086001206,White,09/2023,1,1.16666666666667,2024-03-30
Census Tract,12086,12086001207,Other,11/2022,1,0,2024-03-30
Census Tract,12086,12086001207,Other,10/2023,1,0.333333333333333,2024-03-30
Census Tract,12086,12086001208,Black,03/2021,1,5.16666666666667,2024-03-30
Census Tract,12086,12086001208,Black,12/2023,1,5.16666666666667,2024-03-30
Census Tract,12086,12086001209,Other,10/2022,1,3.16666666666667,2024-03-30
Census Tract,12086,12086001209,Other,12/2022,1,3.83333333333333,2024-03-30
Census Tract,12086,12086001209,Other,01/2023,1,4,2024-03-30
Census Tract,12086,12086001209,Other,03/2023,1,2.66666666666667,2024-03-30
Census Tract,12086,12086001209,Other,11/2023,1,0.833333333333333,2024-03-30
Census Tract,12086,12086001301,Other,08/2021,1,9.16666666666667,2024-03-30
Census Tract,12086,12086001301,Other,02/2023,1,5.66666666666667,2024-03-30
Census Tract,12086,12086001301,Other,04/2023,1,6,2024-03-30
Census Tract,12086,12086001302,Latinx,06/2021,1,4,2024-03-30
Census Tract,12086,12086001302,Latinx,12/2022,1,1.66666666666667,2024-03-30
Census Tract,12086,12086001302,Latinx,04/2023,1,1.5,2024-03-30
Census Tract,12086,12086001302,Latinx,05/2023,2,3.66666666666667,2024-03-30
Census Tract,12086,12086001302,Latinx,06/2023,1,4,2024-03-30
Census Tract,12086,12086001302,Latinx,09/2023,1,1.83333333333333,2024-03-30
Census Tract,12086,12086001302,Latinx,12/2023,2,1.66666666666667,2024-03-30
Census Tract,12086,12086001302,Latinx,01/2024,1,2,2024-03-30
Census Tract,12086,12086001401,Black,06/2021,1,11,2024-03-30
Census Tract,12086,12086001401,Black,05/2023,1,9.16666666666667,2024-03-30
Census Tract,12086,12086001401,Black,09/2023,1,7.83333333333333,2024-03-30
Census Tract,12086,12086001401,Black,11/2023,1,9.66666666666667,2024-03-30
Census Tract,12086,12086001402,Black,07/2022,1,8.33333333333333,2024-03-30
Census Tract,12086,12086001402,Black,12/2023,1,6.83333333333333,2024-03-30
Census Tract,12086,12086001501,Black,10/2022,1,8.16666666666667,2024-03-30
Census Tract,12086,12086001501,Black,04/2023,1,4.5,2024-03-30
Census Tract,12086,12086001502,Black,11/2022,1,3,2024-03-30
Census Tract,12086,12086001502,Black,04/2023,1,2.66666666666667,2024-03-30
Census Tract,12086,12086001603,Latinx,04/2023,1,0.333333333333333,2024-03-30
Census Tract,12086,12086001603,Latinx,07/2023,1,0.666666666666667,2024-03-30
Census Tract,12086,12086001606,Latinx,07/2023,1,0.833333333333333,2024-03-30
Census Tract,12086,12086001607,Latinx,11/2022,1,0.333333333333333,2024-03-30
Census Tract,12086,12086001608,Latinx,03/2022,1,0.833333333333333,2024-03-30
