type,GEOID,racial_majority,week,week_date,week_filings,filings_avg,last_updated
County,51003,White,47,2020-11-15,3,76.25,2023-04-08
County,51003,White,48,2020-11-22,1,10,2023-04-08
County,51003,White,49,2020-11-29,1,6.75,2023-04-08
County,51003,White,50,2020-12-06,1,8.25,2023-04-08
County,51003,White,51,2020-12-13,0,53.25,2023-04-08
County,51003,White,52,2020-12-20,0,38,2023-04-08
County,51003,White,53,2020-12-27,1,3.5,2023-04-08
County,51003,White,54,2021-01-03,0,3.75,2023-04-08
County,51003,White,55,2021-01-10,1,11.5,2023-04-08
County,51003,White,56,2021-01-17,1,82,2023-04-08
County,51003,White,57,2021-01-24,0,27.75,2023-04-08
County,51003,White,58,2021-01-31,3,5,2023-04-08
County,51003,White,59,2021-02-07,0,10.5,2023-04-08
County,51003,White,60,2021-02-14,1,59.25,2023-04-08
County,51003,White,61,2021-02-21,11,37.75,2023-04-08
County,51003,White,62,2021-02-28,4,4.75,2023-04-08
County,51003,White,63,2021-03-07,4,5.5,2023-04-08
County,51003,White,64,2021-03-14,3,40.25,2023-04-08
County,51003,White,65,2021-03-21,6,41.75,2023-04-08
County,51003,White,66,2021-03-28,4,4.25,2023-04-08
County,51003,White,67,2021-04-04,0,5.5,2023-04-08
County,51003,White,68,2021-04-11,1,18.75,2023-04-08
County,51003,White,69,2021-04-18,3,50.5,2023-04-08
County,51003,White,70,2021-04-25,21,11.25,2023-04-08
County,51003,White,71,2021-05-02,3,5,2023-04-08
County,51003,White,72,2021-05-09,3,10.5,2023-04-08
County,51003,White,73,2021-05-16,14,60,2023-04-08
County,51003,White,74,2021-05-23,8,24.25,2023-04-08
County,51003,White,75,2021-05-30,2,7.5,2023-04-08
County,51003,White,76,2021-06-06,0,4,2023-04-08
County,51003,White,77,2021-06-13,3,30.75,2023-04-08
County,51003,White,78,2021-06-20,1,55.5,2023-04-08
County,51003,White,79,2021-06-27,14,8.5,2023-04-08
County,51003,White,80,2021-07-04,5,3.75,2023-04-08
County,51003,White,81,2021-07-11,5,20.25,2023-04-08
County,51003,White,82,2021-07-18,4,83.5,2023-04-08
County,51003,White,83,2021-07-25,2,9.25,2023-04-08
County,51003,White,84,2021-08-01,6,3.75,2023-04-08
County,51003,White,85,2021-08-08,15,7.25,2023-04-08
County,51003,White,86,2021-08-15,1,66.25,2023-04-08
County,51003,White,87,2021-08-22,4,26.25,2023-04-08
County,51003,White,88,2021-08-29,3,4.5,2023-04-08
County,51003,White,89,2021-09-05,2,7.5,2023-04-08
County,51003,White,90,2021-09-12,5,17,2023-04-08
County,51003,White,91,2021-09-19,3,66.5,2023-04-08
County,51003,White,92,2021-09-26,7,15,2023-04-08
County,51003,White,93,2021-10-03,7,3.25,2023-04-08
County,51003,White,94,2021-10-10,3,19.5,2023-04-08
County,51003,White,95,2021-10-17,1,66.25,2023-04-08
County,51003,White,96,2021-10-24,14,13.5,2023-04-08
County,51003,White,97,2021-10-31,4,3.25,2023-04-08
County,51003,White,98,2021-11-07,6,2.25,2023-04-08
County,51003,White,99,2021-11-14,4,46.25,2023-04-08
County,51003,White,100,2021-11-21,1,43.25,2023-04-08
County,51003,White,101,2021-11-28,3,7.5,2023-04-08
County,51003,White,102,2021-12-05,15,3.75,2023-04-08
County,51003,White,103,2021-12-12,5,33,2023-04-08
County,51003,White,104,2021-12-19,1,62,2023-04-08
County,51003,White,105,2021-12-26,1,4.5,2023-04-08
County,51003,White,106,2022-01-02,22,3.75,2023-04-08
County,51003,White,107,2022-01-09,3,6.75,2023-04-08
County,51003,White,108,2022-01-16,6,84.75,2023-04-08
County,51003,White,109,2022-01-23,22,29,2023-04-08
County,51003,White,110,2022-01-30,10,5.25,2023-04-08
County,51003,White,111,2022-02-06,4,3.75,2023-04-08
County,51003,White,112,2022-02-13,11,66.25,2023-04-08
County,51003,White,113,2022-02-20,8,37,2023-04-08
County,51003,White,114,2022-02-27,41,5,2023-04-08
County,51003,White,115,2022-03-06,3,3,2023-04-08
County,51003,White,116,2022-03-13,11,38.25,2023-04-08
County,51003,White,117,2022-03-20,21,43.5,2023-04-08
County,51003,White,118,2022-03-27,5,7.25,2023-04-08
County,51003,White,119,2022-04-03,7,5.5,2023-04-08
County,51003,White,120,2022-04-10,13,14.75,2023-04-08
County,51003,White,121,2022-04-17,31,54,2023-04-08
County,51003,White,122,2022-04-24,3,10.75,2023-04-08
County,51003,White,123,2022-05-01,18,6,2023-04-08
County,51003,White,124,2022-05-08,10,8,2023-04-08
County,51003,White,125,2022-05-15,16,62.25,2023-04-08
County,51003,White,126,2022-05-22,9,24.5,2023-04-08
County,51003,White,127,2022-05-29,10,7.75,2023-04-08
County,51003,White,128,2022-06-05,5,3,2023-04-08
County,51003,White,129,2022-06-12,22,28.75,2023-04-08
County,51003,White,130,2022-06-19,3,54.5,2023-04-08
County,51003,White,131,2022-06-26,29,12,2023-04-08
County,51003,White,132,2022-07-03,9,3.75,2023-04-08
County,51003,White,133,2022-07-10,7,15,2023-04-08
County,51003,White,134,2022-07-17,18,75,2023-04-08
County,51003,White,135,2022-07-24,88,23.5,2023-04-08
County,51003,White,136,2022-07-31,14,3.75,2023-04-08
County,51003,White,137,2022-08-07,6,6,2023-04-08
County,51003,White,138,2022-08-14,16,56,2023-04-08
County,51003,White,139,2022-08-21,21,36.25,2023-04-08
County,51003,White,140,2022-08-28,34,5.5,2023-04-08
County,51003,White,141,2022-09-04,25,6.25,2023-04-08
County,51003,White,142,2022-09-11,12,15.75,2023-04-08
County,51003,White,143,2022-09-18,17,69,2023-04-08
County,51003,White,144,2022-09-25,56,14.5,2023-04-08
County,51003,White,145,2022-10-02,10,4.25,2023-04-08
County,51003,White,146,2022-10-09,40,17.75,2023-04-08
County,51003,White,147,2022-10-16,5,65.75,2023-04-08
County,51003,White,148,2022-10-23,36,15.5,2023-04-08
County,51003,White,149,2022-10-30,50,2.75,2023-04-08
County,51003,White,150,2022-11-06,6,2.5,2023-04-08
County,51003,White,151,2022-11-13,12,25.25,2023-04-08
County,51003,White,152,2022-11-20,45,63.75,2023-04-08
County,51003,White,153,2022-11-27,9,8.5,2023-04-08
County,51003,White,154,2022-12-04,37,2.75,2023-04-08
County,51003,White,155,2022-12-11,17,32,2023-04-08
County,51003,White,156,2022-12-18,22,64.25,2023-04-08
County,51003,White,157,2022-12-25,1,4.5,2023-04-08
County,51003,White,158,2023-01-01,53,3,2023-04-08
County,51003,White,159,2023-01-08,15,7.5,2023-04-08
County,51003,White,160,2023-01-15,45,83,2023-04-08
County,51003,White,161,2023-01-22,73,22.25,2023-04-08
County,51003,White,162,2023-01-29,27,13,2023-04-08
County,51003,White,163,2023-02-05,13,3.75,2023-04-08
County,51003,White,164,2023-02-12,14,52.75,2023-04-08
County,51003,White,165,2023-02-19,40,47.25,2023-04-08
County,51003,White,166,2023-02-26,26,8.25,2023-04-08
County,51003,White,167,2023-03-05,15,3.25,2023-04-08
County,51003,White,168,2023-03-12,25,35.5,2023-04-08
County,51003,White,169,2023-03-19,11,45.25,2023-04-08
County,51003,White,170,2023-03-26,48,8.5,2023-04-08
County,51003,White,171,2023-04-02,0,2.75,2023-04-08
County,51005,White,1,2019-12-29,2,2.25,2023-04-08
County,51005,White,2,2020-01-05,5,1.5,2023-04-08
County,51005,White,3,2020-01-12,4,3.25,2023-04-08
County,51005,White,4,2020-01-19,8,6.25,2023-04-08
County,51005,White,5,2020-01-26,0,1.25,2023-04-08
County,51005,White,6,2020-02-02,3,4.5,2023-04-08
County,51005,White,7,2020-02-09,0,3.75,2023-04-08
County,51005,White,8,2020-02-16,6,3.25,2023-04-08
County,51005,White,9,2020-02-23,4,8.25,2023-04-08
County,51005,White,10,2020-03-01,4,4,2023-04-08
County,51005,White,11,2020-03-08,3,2.75,2023-04-08
County,51005,White,12,2020-03-15,0,3,2023-04-08
County,51005,White,13,2020-03-22,0,4.75,2023-04-08
County,51005,White,14,2020-03-29,0,1.25,2023-04-08
County,51005,White,15,2020-04-05,0,0.75,2023-04-08
County,51005,White,16,2020-04-12,0,4,2023-04-08
County,51005,White,17,2020-04-19,0,6.75,2023-04-08
County,51005,White,18,2020-04-26,0,2.5,2023-04-08
County,51005,White,19,2020-05-03,0,4.5,2023-04-08
County,51005,White,20,2020-05-10,0,3.5,2023-04-08
County,51005,White,21,2020-05-17,3,3.25,2023-04-08
County,51005,White,22,2020-05-24,1,5.75,2023-04-08
County,51005,White,23,2020-05-31,1,3.25,2023-04-08
County,51005,White,24,2020-06-07,0,4,2023-04-08
County,51005,White,25,2020-06-14,2,3.5,2023-04-08
County,51005,White,26,2020-06-21,0,5.5,2023-04-08
County,51005,White,27,2020-06-28,0,3.75,2023-04-08
County,51005,White,28,2020-07-05,3,2.25,2023-04-08
County,51005,White,29,2020-07-12,1,5,2023-04-08
County,51005,White,30,2020-07-19,4,2.25,2023-04-08
County,51005,White,31,2020-07-26,0,6.5,2023-04-08
County,51005,White,32,2020-08-02,0,1.75,2023-04-08
County,51005,White,33,2020-08-09,4,4.5,2023-04-08
County,51005,White,34,2020-08-16,1,5.25,2023-04-08
County,51005,White,35,2020-08-23,0,5.75,2023-04-08
County,51005,White,36,2020-08-30,3,4.25,2023-04-08
County,51005,White,37,2020-09-06,2,3.75,2023-04-08
County,51005,White,38,2020-09-13,1,2.75,2023-04-08
County,51005,White,39,2020-09-20,2,4.5,2023-04-08
County,51005,White,40,2020-09-27,4,4.25,2023-04-08
County,51005,White,41,2020-10-04,1,1.5,2023-04-08
County,51005,White,42,2020-10-11,2,6.25,2023-04-08
